sno,brand,model,reference,year,serial_number,price_usd,dial_color,case_material,case_diameter,movement_type,bracelet_color,bracelet_material,water_resistance,power_reserve,description,product_image_url,
1,Rolex,Rolex Yacht-Master 42,226627,2023,,16399.1,Black,Titanium,42 ,Automatic,Silver,Titanium,,70 h,,"https://media.rolex.com/image/upload/q_auto/f_auto/t_v7-cover-majesty-landscape/c_limit,w_1920/v1/a677b2c664f6/catalogue/2026/upright-c/m226627-0001",
6,Rolex,Rolex Yacht-Master 40,126621,2016,,15970.74,Chocolate,Gold/Steel,40 ,Automatic,Silver,Everose Rolesor,,48 h,,"https://media.rolex.com/image/upload/q_auto/f_auto/t_v7-cover-majesty-landscape/c_limit,w_1920/v1/a677b2c664f6/catalogue/2026/upright-c/m126621-0001",
17,Rolex,Rolex Yacht-Master 37,268622,2015,,1268.56,Black,Steel,37 ,Automatic,Silver,Oystersteel,,55 h,,"https://media.rolex.com/image/upload/q_auto/f_auto/t_v7/c_limit,w_1920/v1/a677b2c664f6/catalogue/2026/upright-c/m268622-0002",
24,Rolex,Land-Dweller 36,127234,2025,,15653.89,Intense white,White Rolesor,36,Self winding,Sliver,Steel,,66 h,,"https://media.rolex.com/image/upload/q_auto/f_auto/t_v7/c_limit,w_1920/v1/a677b2c664f6/catalogue/2026/upright-c/m127234-0001",
34,Rolex,Datejust 41,126334,2025,,11904.16,Bright blue,Oystersteel,41,Self winding,Oyster,Oystersteel,,70 h,,"https://media.rolex.com/image/upload/q_auto/f_auto/t_v7/c_limit,w_1920/v1/a677b2c664f6/catalogue/2026/upright-c/m126334-0022",
38,Rolex,,126710GRNR ,2024,,12003.88,Black,Steel,40 ,Automatic,Sliver,Oystersteel,,70 h,,"https://media.rolex.com/image/upload/q_auto/f_auto/t_v7/c_limit,w_1920/v1/a677b2c664f6/catalogue/2026/upright-c/m126710grnr-0003",
44,Rolex,Rolex Sky-Dweller,336934,2020,,18065.44,Black,Steel,42 ,Automatic,Silver,Oystersteel,,72 h,,"https://media.rolex.com/image/upload/q_auto/f_auto/t_v7/c_limit,w_1920/v1/a677b2c664f6/catalogue/2026/upright-c/m336934-0002",
60,Rolex,Daytona,126500ln,2026,,28390,Black,Steel,40,Automatic,Steel,Steel,,72 h,,"https://media.rolex.com/image/upload/q_auto/f_auto/t_v7-cover-majesty-landscape/c_limit,w_1920/v1/a677b2c664f6/catalogue/2026/upright-c/m126500ln-0001",
66,Rolex,Rolex Daytona,126509,2023,,55500,Silver,White gold,40 ,Automatic,Grey,White gold,,72 h,,"https://media.rolex.com/image/upload/q_auto/f_auto/t_v7-cover-majesty-landscape/c_limit,w_1920/v1/a677b2c664f6/catalogue/2026/upright-c/m126509-0005",
80,Rolex,Rolex GMT-Master II,126720VTNR ,2020,,15890,Black,Steel,40 ,Automatic,Steel,Steel,,70 h,,"https://media.rolex.com/image/upload/q_auto/f_auto/t_v7-cover-majesty-landscape/c_limit,w_1920/v1/a677b2c664f6/catalogue/2026/upright-c/m126720vtnr-0002",
89,Rolex,Daytona,126525LN ,2025,,205500,Black,Rose gold,,Automatic,Gold,Rose gold,,72 h,,https://d5ee3ksv7elb9.cloudfront.net/products/8b5c8849-902e-40aa-8c6c-25e7c4f9c651.JPG,No result Found
111,Rolex,GMT-Master II,126710GRNR,2025,,21150,Black,Steel Steel,40 ,Automatic,Steel,Steel Steel,,70,,"https://media.rolex.com/image/upload/q_auto/f_auto/t_v7-cover-majesty-landscape/c_limit,w_1920/v1/a677b2c664f6/catalogue/2026/upright-c/m126710grnr-0003",
